Título,Descrição do chamado,Última ação de acompanhamento,Título da ultima ação padrão
Erro no sistema de login,Cliente João relatou que não consegue acessar o portal desde ontem,[ANONIMIZADO] entrou em contato com o cliente e pediu mais detalhes,Aguardando retorno do cliente
Lentidão no servidor,[ANONIMIZADO] abriu chamado informando lentidão extrema no ERP,[ANONIMIZADO] verificou os logs e identificou sobrecarga no banco,Análise técnica em andamento
Falha no relatório financeiro,[ANONIMIZADO] não consegue exportar o relatório em PDF,[ANONIMIZADO] tentou reproduzir o erro mas não conseguiu,Aguardando mais informações
Acesso negado ao módulo RH,[ANONIMIZADO] está sem permissão para acessar o módulo de férias,[ANONIMIZADO] escalou para o time de infraestrutura,Escalado para outro time
Impressora não reconhecida,[ANONIMIZADO] relatou que a impressora da sala 3 parou de funcionar,Técnico [ANONIMIZADO] foi até o local e reiniciou o spooler,Resolvido presencialmente
Erro ao salvar cadastro,[ANONIMIZADO] tenta salvar um novo fornecedor mas recebe mensagem de erro,[ANONIMIZADO] pediu ao cliente que enviasse print do erro,Aguardando evidência do cliente
Sistema fora do ar,Toda a equipe do setor financeiro sem acesso — [ANONIMIZADO] abriu o chamado,[ANONIMIZADO] acionou o time de DevOps às 14h,Incidente crítico em andamento
Dúvida sobre nota fiscal,[ANONIMIZADO] tem dúvida sobre como emitir nota fiscal pelo sistema,[ANONIMIZADO] enviou o manual por e-mail para a cliente,Resolvido via documentação
Falha na integração ERP,[ANONIMIZADO] percebeu que os pedidos não estão sincronizando com o estoque,[ANONIMIZADO] identificou falha na API de integração,Correção agendada para manutenção
Tela em branco ao abrir módulo,Patrícia relata tela branca ao abrir o módulo de compras,[ANONIMIZADO] solicitou que a cliente limpasse o cache do navegador,Aguardando retorno do cliente
